combination,corXZ2,sdX2,sdY2,maxZ2,minX2,minX,sdMagnitude2,meanZ,sdMagnitude,meanX,maxY2,meanZ2,maxZ,minZ,maxX,maxX2,sdX,corXY2,meanY2,sdZ2,meanX2,minZ2,auc2,minY,meanMagnitude2,sdZ,minY2,meanDif,meanMagnitude,meanDif2,meanY,corYZ2,corYZ,auc,corXY,maxY,corXZ
BaseDE_knn,28.0,19.0,24.0,10.0,15.0,11.0,16.0,6.0,6.0,10.0,5.0,13.0,8.0,9.0,1.0,5.0,6.0,11.0,3.0,6.0,6.0,5.0,7.0,4.0,5.0,3.0,4.0,2.0,6.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0
BaseDE_svm,30.0,22.0,28.0,15.0,14.0,10.0,10.0,8.0,8.0,7.0,4.0,5.0,9.0,3.0,4.0,9.0,8.0,3.0,10.0,4.0,3.0,5.0,5.0,5.0,5.0,9.0,3.0,7.0,2.0,4.0,0.0,5.0,4.0,2.0,2.0,1.0,2.0
BaseGA_knn,30.0,26.0,4.0,5.0,18.0,13.0,2.0,2.0,4.0,13.0,0.0,7.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BaseGA_svm,30.0,30.0,30.0,17.0,10.0,11.0,0.0,13.0,1.0,0.0,6.0,3.0,10.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OriginalABC_knn,30.0,23.0,21.0,21.0,19.0,5.0,7.0,13.0,7.0,9.0,0.0,1.0,0.0,10.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OriginalABC_svm,30.0,30.0,30.0,27.0,3.0,10.0,0.0,11.0,15.0,0.0,25.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OriginalArchOA_knn,30.0,24.0,11.0,8.0,13.0,8.0,5.0,4.0,6.0,8.0,0.0,8.0,1.0,4.0,7.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OriginalArchOA_svm,30.0,25.0,28.0,11.0,8.0,10.0,5.0,6.0,4.0,2.0,7.0,5.0,8.0,2.0,3.0,4.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
OriginalDO_knn,29.0,21.0,20.0,13.0,13.0,9.0,9.0,8.0,12.0,11.0,0.0,8.0,2.0,6.0,1.0,5.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
OriginalDO_svm,30.0,24.0,30.0,16.0,12.0,12.0,6.0,8.0,11.0,2.0,17.0,3.0,10.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OriginalGBO_knn,27.0,24.0,17.0,14.0,11.0,9.0,7.0,4.0,6.0,9.0,2.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
OriginalGBO_svm,30.0,22.0,30.0,11.0,14.0,8.0,8.0,9.0,4.0,1.0,7.0,6.0,4.0,7.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
OriginalJA_knn,26.0,22.0,19.0,11.0,7.0,6.0,10.0,6.0,9.0,8.0,4.0,7.0,2.0,6.0,6.0,6.0,6.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
OriginalJA_svm,30.0,28.0,27.0,14.0,8.0,7.0,2.0,8.0,5.0,8.0,7.0,6.0,4.0,1.0,4.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
OriginalRUN_knn,27.0,20.0,12.0,15.0,14.0,16.0,10.0,2.0,0.0,7.0,0.0,5.0,0.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
OriginalRUN_svm,30.0,24.0,28.0,17.0,6.0,13.0,5.0,6.0,8.0,4.0,16.0,6.0,7.0,1.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
