combination,meanY,corXY,corXY2,meanMagnitude2,maxY2,corXZ2,maxZ2,sdZ,meanY2,meanMagnitude,meanZ,corYZ2,maxZ,minX2,minZ,meanX,corXZ,sdZ2,auc2,sdX,maxY,maxX2,meanX2,sdMagnitude2,minY2,minZ2,sdY2,meanDif,meanZ2,sdX2,sdMagnitude,corYZ,maxX,auc,sdY,minY,minX,meanDif2,user
BaseDE_knn,1,19,5,8,23,30,7,6,9,8,9,7,10,5,12,11,27,7,10,7,0,4,6,5,3,3,8,6,4,2,5,5,3,10,10,4,11,12,501.0
BaseDE_svm,16,11,2,7,19,30,6,7,19,13,13,9,13,9,6,7,17,5,8,9,9,9,1,2,0,11,0,10,4,0,8,7,6,8,6,9,11,5,501.0
BaseGA_knn,0,1,0,1,27,27,8,0,3,3,0,6,8,0,3,1,5,0,1,0,1,1,2,0,0,0,0,1,9,0,0,0,0,2,3,0,2,0,501.0
BaseGA_svm,2,0,0,1,30,30,0,0,8,1,6,0,1,2,9,2,0,0,1,1,1,0,3,0,0,0,0,3,0,1,7,0,6,2,5,3,6,0,501.0
OriginalArchOA_knn,1,21,1,1,19,27,4,1,6,5,3,1,2,2,2,4,17,0,5,2,4,2,0,1,2,4,8,0,1,0,0,0,5,4,2,0,6,1,501.0
OriginalArchOA_svm,8,4,1,2,17,30,5,0,6,5,4,3,7,3,1,4,5,2,2,2,4,2,2,0,0,2,0,0,0,1,2,3,2,4,6,6,4,1,501.0
OriginalDO_knn,1,20,3,3,26,29,3,1,2,5,2,1,3,0,7,6,21,0,3,1,3,2,0,1,0,3,3,2,2,1,0,3,5,2,1,1,3,0,501.0
OriginalDO_svm,7,6,1,2,22,30,3,4,6,4,5,6,3,6,8,4,5,3,5,4,1,0,1,0,0,3,0,2,0,0,2,5,4,4,5,3,3,0,501.0
OriginalGBO_knn,1,24,3,4,18,29,4,1,1,8,4,8,2,0,3,8,20,1,2,2,0,1,0,1,0,0,9,2,0,1,1,1,3,4,4,1,5,0,501.0
OriginalGBO_svm,8,8,0,2,16,30,3,1,6,7,5,5,6,1,8,3,11,1,2,0,5,2,0,0,0,1,0,5,0,0,1,4,4,7,3,2,10,0,501.0
OriginalJA_knn,6,15,5,2,21,30,6,2,4,6,4,4,8,4,4,11,20,1,1,2,1,4,0,0,3,1,7,1,4,3,2,1,6,3,10,2,1,4,501.0
OriginalJA_svm,8,9,1,6,18,29,5,2,8,6,9,7,7,10,7,1,7,2,3,1,1,5,0,1,0,0,0,3,0,0,3,3,1,5,4,5,5,2,501.0
OriginalRUN_knn,5,13,1,0,20,27,1,0,4,6,1,4,1,1,2,1,17,0,4,0,4,5,2,0,1,1,6,0,2,0,1,0,5,8,2,0,1,1,501.0
OriginalRUN_svm,4,3,0,1,22,30,0,0,7,5,4,5,1,2,1,6,4,0,1,2,1,0,0,1,0,3,0,2,0,0,4,3,4,5,2,2,6,0,501.0
OriginalWOA_knn,2,15,1,0,19,30,1,1,1,2,4,4,0,0,6,3,25,1,4,0,3,3,2,0,0,1,9,0,1,0,0,2,4,3,6,1,5,0,501.0
OriginalWOA_svm,8,2,0,2,17,28,3,1,2,4,5,5,4,4,3,5,2,2,2,4,3,0,1,0,0,4,0,3,1,0,0,3,6,1,2,1,3,0,501.0
PPSO_knn,8,10,6,3,13,29,2,0,3,2,3,4,1,1,4,2,22,1,5,0,3,2,1,1,0,3,11,0,2,1,0,1,9,2,7,1,0,0,501.0
PPSO_svm,6,2,1,4,4,26,1,2,1,1,9,5,2,0,4,4,3,3,1,1,3,2,1,0,0,1,0,0,1,1,2,3,3,6,7,2,4,0,501.0
BaseDE_knn,8,4,5,4,5,10,9,13,17,15,11,15,8,8,4,10,18,16,2,5,4,12,14,8,8,18,8,10,15,12,11,4,7,13,1,8,14,20,502.0
BaseDE_svm,17,4,2,4,9,20,9,4,2,23,8,24,10,12,10,11,2,23,1,7,13,5,10,9,8,18,17,10,11,1,6,17,11,20,0,9,9,10,502.0
BaseGA_knn,3,0,0,0,0,0,1,0,1,25,4,0,8,0,4,1,2,12,0,0,0,2,2,0,0,16,0,0,16,0,0,0,7,19,0,0,2,6,502.0
BaseGA_svm,12,0,0,0,2,0,1,3,2,6,4,3,5,3,7,5,0,12,0,0,8,1,4,0,1,19,7,3,7,0,0,0,4,11,0,9,1,3,502.0
OriginalArchOA_knn,5,0,1,0,0,2,3,1,3,7,3,4,5,0,1,3,5,21,0,2,0,2,0,1,2,10,4,0,7,1,1,3,3,6,1,3,1,12,502.0
OriginalArchOA_svm,10,1,1,0,3,1,2,1,0,7,3,10,5,0,4,4,0,9,0,0,8,1,6,0,1,24,9,2,10,0,0,0,6,11,0,1,1,4,502.0
OriginalDO_knn,12,12,1,7,6,4,7,10,3,5,1,6,7,3,6,2,15,21,3,1,8,3,1,6,12,21,5,1,7,4,1,0,2,4,5,1,4,15,502.0
OriginalDO_svm,10,2,0,0,9,19,2,2,1,18,2,23,4,6,3,10,1,22,0,1,3,4,5,0,0,18,17,6,11,1,0,15,5,8,0,8,2,6,502.0
OriginalGBO_knn,6,6,5,2,6,7,1,5,3,11,7,7,5,2,3,1,14,20,2,3,4,3,2,6,8,16,2,1,5,2,1,4,3,6,3,4,3,13,502.0
OriginalGBO_svm,8,4,1,0,5,11,5,2,2,11,3,8,2,3,6,11,1,15,1,1,17,2,10,1,1,18,13,3,18,0,0,7,6,12,1,5,6,6,502.0
