id,iteracion,optimizador,clasificador,accuracy,precision,recall,best_epoch,best_fitness,total_time,features
,1,BaseDE,knn,0.9546092653,0.8835125657,0.8676914104,33,0.8669472708,312.0111461,"Index(['meanX', 'sdY2', 'maxZ2', 'minX2', 'corXZ2', 'sdMagnitude2'], dtype='object')"
,1,BaseDE,svm,0.9560131025,0.882713624,0.8562306458,34,0.8603293886,603.1539459,"Index(['maxZ', 'meanMagnitude', 'meanX2', 'meanZ2', 'sdX2', 'sdY2', 'maxX2',
       'corXZ2', 'auc2'],
      dtype='object')"
,2,BaseDE,knn,0.9457182967,0.8621052482,0.8187418404,50,0.86357316,336.81759,"Index(['meanDif', 'maxX2', 'maxZ2', 'minZ2', 'meanMagnitude2'], dtype='object')"
,2,BaseDE,svm,0.9499298081,0.8573550659,0.8241763783,43,0.8669118219,617.4557121,"Index(['maxX', 'meanX2', 'maxX2', 'minX2', 'corXZ2'], dtype='object')"
,3,BaseDE,knn,0.9508656996,0.8679342758,0.8403221149,48,0.8628273749,331.5766804,"Index(['minZ', 'meanX2', 'sdX2', 'sdY2', 'corXY2', 'corXZ2', 'auc2'], dtype='object')"
,3,BaseDE,svm,0.9569489939,0.8861642627,0.859902348,30,0.8649193353,589.3393505,"Index(['minX', 'minY', 'auc', 'sdX2', 'maxX2', 'maxZ2', 'corXZ2'], dtype='object')"
,4,BaseDE,knn,0.936827328,0.8111585221,0.7891751921,49,0.8645628994,325.796957,"Index(['sdMagnitude', 'meanY2', 'sdX2', 'minZ2'], dtype='object')"
,4,BaseDE,svm,0.9326158166,0.7860660033,0.7596812766,47,0.8685473546,579.8801694,"Index(['sdX2', 'minX2', 'minY2', 'corXY2', 'corXZ2'], dtype='object')"
,5,BaseDE,knn,0.9466541881,0.8535686398,0.8337211585,46,0.8655856984,328.2493038,"Index(['maxY', 'sdY2', 'sdZ2', 'minX2', 'corXZ2'], dtype='object')"
,5,BaseDE,svm,0.9358914366,0.8041941931,0.783627992,42,0.8623299554,596.7795873,"Index(['sdX', 'sdZ', 'meanX2', 'sdZ2', 'maxY2', 'minX2', 'corXZ2'], dtype='object')"
